,Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions",Notes,pull_date
557,4 May 2024,892,Roll-out of release: Started roll-out of 73 (1.7.0) at 100%.,2024-12-18
558,5 May 2024,728,,2024-12-18
559,6 May 2024,802,,2024-12-18
560,7 May 2024,842,,2024-12-18
561,8 May 2024,930,,2024-12-18
562,9 May 2024,982,,2024-12-18
563,10 May 2024,860,,2024-12-18
564,11 May 2024,906,,2024-12-18
565,12 May 2024,740,,2024-12-18
566,13 May 2024,827,,2024-12-18
567,14 May 2024,904,,2024-12-18
568,15 May 2024,881,,2024-12-18
569,16 May 2024,866,,2024-12-18
570,17 May 2024,841,,2024-12-18
